"Listing ID","Sts","SubType","Address","Listing Contract Date","Activation Date","Purchase Contract Date","Close Date","City","County Or Parish","Original List Price","Days In MLS","Close Price","Current Price","RATIO Close Price By Original List Price","Concessions Amount","Bedrooms Total","Buyer Financing","Bathrooms Total Integer","Above Grade Finished Area","Building Area Total","Living Area","Parking Total","Association YN","Association Fee Total Annual"
"8983805","P","SFR","22705 E Long Drive","12/01/2024","2024-12-01","12/02/2024","","Aurora","Arapahoe","$875,000","1","","$875,000","","","4","","4","2,432","4,846","3,833","4","Yes","$4,176.00"
"2034224","P","SFR","17935 E Bethany Drive","12/01/2024","","12/07/2024","","Aurora","Arapahoe","$435,000","6","","$435,000","","","3","","2","1,534","1,534","1,534","2","No","$0.00"
"8643824","C","SFR","3624 S Ivory Court","12/01/2024","","12/03/2024","12/30/2024","Aurora","Arapahoe","$619,000","2","$619,000","$619,000","1.00000","7,482","4","Conventional","4","2,466","3,736","3,479","2","No","$0.00"
"5994563","A","SFR","30 S Oneida Street","12/01/2024","2024-12-01","","","Denver","Denver","$1,550,000","34","","$1,550,000","","","4","","5","3,823","4,862","3,823","2","Yes","$740.00"
"5220775","P","SFR","3667 N Monaco Street","12/01/2024","2024-12-01","12/09/2024","","Denver","Denver","$549,999","8","","$549,999","","","4","","2","1,165","2,330","2,330","2","No","$0.00"
"2208294","A","SFR","16309 Hedgeway Drive","12/01/2024","","","","Parker","Douglas","$640,000","34","","$640,000","","","3","","3","1,977","2,504","1,977","2","Yes","$120.00"
"7145150","P","SFR","4763 Gould Circle","12/01/2024","2024-12-01","12/15/2024","","Castle Rock","Douglas","$749,900","14","","$749,900","","","3","","2","1,846","3,692","1,846","2","Yes","$1,159.60"
"6442090","P","SFR","1063 Halfmoon Drive","12/01/2024","","12/31/2024","","Castle Rock","Douglas","$649,000","26","","$649,000","","","3","","2","1,976","3,952","1,976","3","Yes","$1,061.40"
"7693884","P","SFR","4546 Cholla Trail","12/01/2024","","12/08/2024","","Castle Rock","Douglas","$625,000","7","","$625,000","","","4","","3","1,678","2,866","2,618","2","Yes","$1,044.00"
"5560668","A","SFR","3380 Ward Road","12/01/2024","2024-12-02","","","Wheat Ridge","Jefferson","$1,375,000","34","","$1,375,000","","","5","","3","2,075","3,895","3,836","2","No","$0.00"
"2341142","P","CON","11555 W 70th Place Unit# E","12/01/2024","","12/08/2024","","Arvada","Jefferson","$415,000","7","","$415,000","","","3","","2","1,094","1,654","1,094","1","Yes","$3,600.00"
"4917367","A","SFR","13820 E 133rd Drive","12/02/2024","","","","Brighton","Adams","$930,000","33","","$930,000","","","4","","4","2,628","3,961","3,961","19","No","$0.00"
"8842113","A","SFR","5461 E 116th Avenue","12/02/2024","","","","Thornton","Adams","$615,000","33","","$589,000","","","4","","4","2,038","2,793","2,728","2","Yes","$384.00"
"7395731","A","SFR","21292 E 63rd Drive","12/02/2024","","","","Aurora","Adams","$553,670","33","","$553,670","","","3","","3","1,873","1,873","1,873","2","Yes","$1,080.00"
"4660659","A","SFR","7909 N Pecos Street","12/02/2024","","","","Denver","Adams","$549,900","33","","$539,900","","","5","","2","1,118","2,236","2,236","2","No","$0.00"
"1959260","A","SFR","21242 E 63rd Drive","12/02/2024","","","","Aurora","Adams","$515,100","33","","$515,100","","","3","","3","1,651","1,651","1,651","2","Yes","$1,080.00"
"2715246","A","SFR","5960 Glencoe Street","12/02/2024","2024-12-02","","","Commerce City","Adams","$510,000","33","","$495,000","","","3","","2","1,194","2,388","2,388","2","No","$0.00"
"8804414","A","SFR","19635 Montview Drive","12/02/2024","2024-12-02","","","Aurora","Adams","$488,000","33","","$482,000","","","3","","3","1,204","1,860","1,827","2","Yes","$600.00"
"9786042","A","CON","970 W 112th Avenue Unit# 1605","12/02/2024","","","","Northglenn","Adams","$420,000","33","","$420,000","","","2","","3","1,537","1,537","1,537","2","Yes","$3,480.00"
"5577994","A","SFR","9085 Emerson Street","12/02/2024","","","","Thornton","Adams","$385,000","33","","$385,000","","","2","","1","890","890","890","2","No","$0.00"
"9408865","P","SFR","6279 N Fundy Street","12/02/2024","","12/31/2024","","Aurora","Adams","$490,000","29","","$490,000","","","4","","4","2,014","2,764","2,014","5","Yes","$492.00"
"8258098","P","SFR","9400 Lilly Court","12/02/2024","","12/18/2024","","Thornton","Adams","$445,900","16","","$435,900","","","3","","2","1,176","1,176","1,176","5","No","$0.00"
"6707787","P","SFR","9065 Mandel Street","12/02/2024","","12/19/2024","","Denver","Adams","$320,000","17","","$320,000","","","3","","2","1,202","1,202","1,202","4","No","$0.00"
"8674150","C","SFR","6914 E 126th Drive","12/02/2024","","12/04/2024","12/30/2024","Thornton","Adams","$674,950","2","$674,950","$674,950","1.00000","22,419","3","Conventional","2","1,886","3,710","1,886","3","Yes","$1,008.00"
"1774695","C","SFR","3429 W 73rd Avenue","12/02/2024","2024-12-02","12/06/2024","12/30/2024","Westminster","Adams","$349,900","4","$344,900","$344,900","0.98571","3,700","2","Conventional","1","988","988","988","1","No","$0.00"
