"Listing ID","Sts","SubType","Address","Listing Contract Date","Activation Date","Purchase Contract Date","Close Date","City","County Or Parish","Original List Price","Days In MLS","Close Price","Current Price","RATIO Close Price By Original List Price","Concessions Amount","Bedrooms Total","Buyer Financing","Bathrooms Total Integer","Above Grade Finished Area","Building Area Total","Living Area","Parking Total","Association YN","Association Fee Total Annual"
"9729556","C","SFR","10828 Roseanna Drive","10/11/2024","","12/01/2024","01/02/2025","Northglenn","Adams","$515,000","51","$489,000","$489,000","0.94951","0","3","Conventional","3","1,868","1,868","1,868","3","No","$0.00"
"2391822","C","SFR","6933 E 126th Avenue","08/12/2024","","12/01/2024","12/30/2024","Thornton","Adams","$679,950","79","$684,950","$684,950","1.00735","27,519","3","FHA","2","1,944","3,743","1,944","3","Yes","$1,008.00"
"3283354","C","SFR","8426 Pratt Street","11/29/2024","2024-12-02","12/01/2024","12/30/2024","Westminster","Adams","$398,000","2","$381,000","$381,000","0.95729","0","3","Conventional","3","1,189","2,378","2,081","1","No","$0.00"
"4708815","C","TWH","6083 N Orleans Street","10/18/2024","2024-10-18","12/01/2024","12/20/2024","Aurora","Adams","$499,000","44","$469,000","$469,000","0.93988","0","3","Conventional","3","1,719","1,719","1,719","2","Yes","$1,620.00"
"2706372","C","SFR","3035 Oxley Street","09/27/2024","2024-09-27","12/01/2024","12/20/2024","Strasburg","Adams","$402,900","47","$376,900","$376,900","0.93547","0","2","FHA","2","1,005","1,005","1,005","1","Yes","$1,236.00"
"6197536","C","SFR","4811 Astor Place","11/25/2024","","12/01/2024","12/19/2024","Brighton","Adams","$549,900","6","$549,900","$549,900","1.00000","24,211","4","Conventional","3","2,138","2,138","2,138","2","Yes","$1,135.20"
"5689901","C","SFR","6711 Avrum Drive","10/24/2024","","12/01/2024","12/18/2024","Denver","Adams","$705,000","38","$685,000","$685,000","0.97163","3,000","3","VA","3","2,090","3,188","2,090","2","Yes","$1,056.00"
"2334686","C","SFR","8581 Jackson Court","11/19/2024","","12/01/2024","12/17/2024","Denver","Adams","$247,000","12","$225,000","$225,000","0.91093","0","3","Cash","2","1,344","1,344","1,344","0","Yes","$792.00"
"3107918","P","TWH","11207 Wyandot Street","09/20/2024","","12/01/2024","","Denver","Adams","$549,900","72","","$549,900","","","3","","3","1,323","2,614","2,614","2","Yes","$3,640.80"
"2571610","P","SFR","6735 E 123rd Avenue","11/15/2024","2024-11-15","12/01/2024","","Brighton","Adams","$515,000","16","","$515,000","","","5","","3","1,379","2,012","2,012","2","No","$0.00"
"9903769","P","TWH","12826 Jasmine Street Unit# A","10/31/2024","","12/01/2024","","Thornton","Adams","$425,000","31","","$425,000","","","2","","4","1,312","1,938","1,900","1","Yes","$3,744.00"
"6045897","C","SFR","6834 S Willow Street","10/24/2024","2024-10-24","12/01/2024","01/02/2025","Centennial","Arapahoe","$789,000","38","$740,000","$740,000","0.93790","0","5","Conventional","4","2,122","3,121","2,922","6","No","$0.00"
"1578630","C","SFR","2888 S Espana Court","09/19/2024","2024-09-20","12/01/2024","12/30/2024","Aurora","Arapahoe","$515,000","54","$505,000","$505,000","0.98058","10,000","4","Conventional","3","1,393","2,281","2,194","4","No","$0.00"
"2398877","C","SFR","164 N Oak Hill Way","10/03/2024","","12/01/2024","12/27/2024","Aurora","Arapahoe","$609,900","59","$575,000","$575,000","0.94278","5,000","3","Conventional","3","1,719","3,084","2,947","2","Yes","$540.00"
"5835038","C","TWH","6393 S Grape Court","09/19/2024","2024-09-19","12/01/2024","12/27/2024","Centennial","Arapahoe","$525,000","73","$485,000","$485,000","0.92381","1,740","2","FHA","3","1,598","2,528","1,598","4","Yes","$6,300.00"
"7542197","C","SFR","18238 E Atlantic Drive","09/26/2024","","12/01/2024","12/26/2024","Aurora","Arapahoe","$455,000","66","$445,000","$445,000","0.97802","13,350","2","Conventional","2","1,320","1,320","1,320","2","No","$0.00"
"5789981","C","SFR","4114 S Liverpool Way","09/11/2024","2024-09-11","12/01/2024","12/20/2024","Aurora","Arapahoe","$725,000","66","$702,000","$702,000","0.96828","0","4","Conventional","4","3,110","5,054","3,110","3","Yes","$800.00"
"4326732","C","SFR","3582 E Costilla Avenue","07/26/2024","2024-07-26","12/01/2024","12/18/2024","Centennial","Arapahoe","$879,000","122","$779,000","$779,000","0.88623","0","4","Conventional","3","1,319","2,638","2,538","2","Yes","$180.00"
"2438305","C","SFR","27635 E Byers Place","07/30/2024","","12/01/2024","12/17/2024","Aurora","Arapahoe","$659,950","111","$649,950","$649,950","0.98485","12,079","5","Conventional","3","3,109","3,109","3,109","2","Yes","$1,520.72"
"2231151","P","SFR","6964 S Pontiac Court","09/19/2024","2024-09-19","12/01/2024","","Centennial","Arapahoe","$915,000","73","","$910,000","","","4","","3","1,750","2,556","2,155","2","Yes","$1,552.00"
"3502250","P","SFR","3363 N Catawba Way","10/31/2024","","12/01/2024","","Aurora","Arapahoe","$548,990","31","","$548,990","","","3","","3","1,845","2,548","1,845","2","Yes","$1,200.00"
"2237428","P","CON","3144 S Wheeling Way Unit# 410, Bldg 210","05/06/2024","","12/01/2024","","Aurora","Arapahoe","$372,500","209","","$359,500","","","3","","3","2,145","2,145","2,145","2","Yes","$13,512.00"
"5202090","C","SFR","1118 Oakhurst Drive","10/25/2024","2024-10-25","12/01/2024","12/27/2024","Broomfield","Broomfield","$850,000","37","$815,000","$815,000","0.95882","0","4","FHA","4","2,482","4,116","4,034","3","Yes","$65.00"
"4878710","C","SFR","2748 W 126th Avenue","10/03/2024","2024-10-03","12/01/2024","12/23/2024","Broomfield","Broomfield","$599,000","59","$547,000","$547,000","0.91319","0","4","Conventional","4","1,581","2,429","1,921","2","No","$0.00"
"7335019","P","TWH","14237 Currant Street","11/04/2024","","12/01/2024","","Broomfield","Broomfield","$766,021","27","","$766,021","","","3","","4","2,354","2,354","2,354","2","No","$0.00"
"1836788","C","SFR","2953 S Vrain Street","10/11/2024","","12/01/2024","01/03/2025","Denver","Denver","$599,999","51","$599,999","$599,999","1.00000","0","5","Conventional","2","1,147","2,294","2,294","1","No","$0.00"
